tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima
1108,1,1569234754,1,2,7,0,0,1060.5521,1049.2379933872255,1084.7820792419577
1160,1,1569234335,1,2,7,0,0,1060.5521,1049.2373597640005,1084.7820792419577
1101,1,1569234055,1,2,7,0,0,1060.5521,1049.2369363403657,1084.7820792419577
1144,1,1569233607,1,2,7,0,0,1060.5521,1049.23625886255,1084.7820792419577
992,1,1569233301,1,2,7,0,0,1060.5521,1049.2357961210062,1084.7820792419577
963,1,1569233273,1,2,7,0,0,1060.5521,1049.2357537786427,1084.7820792419577
1201,1,1569232222,1,2,6,0,0,971.7127,1034.7957831274123,1061.2443912832
1207,1,1569231791,1,2,6,0,0,971.7127,1034.7951313574601,1061.2443912832
1059,1,1569231195,1,2,6,0,0,971.7127,1034.7942300700086,1061.2443912832
1133,1,1569230940,1,2,6,0,0,971.7127,1034.7938444520557,1061.2443912832
955,1,1569230824,1,2,6,0,0,971.7127,1034.7936690336926,1061.2443912832
934,1,1569228699,1,2,5,0,0,860.02264,1020.3520742503772,906.7368672690435
822,1,1569228343,1,2,5,0,0,860.02264,1020.3515358974698,906.7368672690435
818,1,1569227591,1,2,5,0,0,860.02264,1020.3503987025649,906.7368672690435
786,1,1569227171,1,2,5,0,0,860.02264,1020.3497635671126,906.7368672690435
756,1,1569226209,1,2,5,0,0,860.02264,1020.3483088044816,906.7368672690435
639,1,1569225610,1,2,5,0,0,860.02264,1020.3474029803485,906.7368672690435
816,1,1569224901,1,1,4,0,0,815.0797,1005.9079495108433,838.7839644318863
636,1,1569223626,1,1,4,0,0,815.0797,1005.9060214210779,838.7839644318863
821,1,1569208353,1,1,0,0,0,837.0571,948.1293999725351,866.0624569589886
820,7,1569206940,1,4,23,0,0,954.4186,1203.5446113965452,950.8147177067704
955,7,1569204046,1,4,23,0,0,954.4186,1203.540235010834,950.8147177067704
1033,7,1569201963,1,4,22,0,0,997.81525,1189.098703741064,984.5971102967721
748,7,1569199527,1,4,21,0,0,1006.67285,1174.6566386550683,1020.5118484848308
913,7,1569198463,1,4,21,0,0,1006.67285,1174.6550296452558,1020.5118484848308
1209,7,1569196269,1,4,20,0,0,1050.7576,1160.2133305182585,1044.770137760444
977,7,1569194766,1,4,20,0,0,1050.7576,1160.2110576406765,1044.770137760444
1096,7,1569193047,1,4,19,0,0,1095.6772,1145.7700768216307,1054.1082171911617
819,7,1569189958,1,4,19,0,0,1095.6772,1145.765405551603,1054.1082171911617
1093,7,1569188807,1,4,18,0,0,1103.6418,1131.3252836776462,1031.093543211982
1023,7,1569186363,1,4,18,0,0,1103.6418,1131.3215877942046,1031.093543211982
1096,7,1569185584,1,3,17,0,0,1103.6418,1116.8820284687906,1028.2870552433833
1015,7,1569183922,1,3,17,0,1,1115.8748,1207.1159953180415,1077.9857328899122
925,7,1569181640,1,3,16,0,1,1109.7589,1192.6741631150446,1076.3842002008862
1037,7,1569180433,1,3,16,0,1,1109.7589,1192.6723378567333,1076.3842002008862
892,7,1569178019,1,3,15,0,1,1081.4468,1178.2303060397373,1078.7603952256693
1002,7,1569176759,1,3,15,0,1,1081.4468,1178.2284006333814,1078.7603952256693
897,7,1569174439,1,3,14,0,1,1078.294,1163.786510965748,1074.199471810809
1056,7,1569173365,1,3,14,0,1,1078.294,1163.7848868336634,1074.199471810809
880,7,1569172012,1,3,14,0,1,1078.294,1163.782840790171,1074.199471810809
993,7,1569170903,1,3,13,0,1,1095.6472,1149.342782429759,1116.6154764124715
1032,7,1569169690,1,3,13,0,1,1095.6472,1149.3409480980838,1116.6154764124715
974,7,1569168715,1,3,13,0,1,1095.6472,1149.3394736764988,1116.6154764124715
1292,7,1569167368,1,3,12,0,1,1095.6472,1134.8990554059967,1113.1553758769408
1090,7,1569166048,1,3,12,0,1,1095.6472,1134.8970592660046,1113.1553758769408
962,7,1569165017,1,3,12,0,1,1095.6472,1134.8955001596917,1113.1553758769408
1030,7,1569162504,1,2,11,0,1,1102.2947,1120.4533186321962,1106.7007439185875
882,7,1569161294,1,2,11,0,1,1102.2947,1120.4514888372034,1106.7007439185875
797,7,1569158899,1,2,10,0,1,1058.326,1106.0094857525257,1088.5718893608805
979,7,1569156471,1,2,9,0,1,938.8648,1091.5674327643476,953.0575359470347
893,7,1569154016,1,2,9,0,1,938.8648,1091.563720246407,953.0575359470347
777,7,1569152864,1,2,8,0,1,919.9575,1077.1235968602225,939.7400826026328
859,7,1569151632,1,2,8,0,1,919.9575,1077.12173379623,939.7400826026328
656,7,1569150592,1,2,8,0,1,919.9575,1077.1201610798719,939.7400826026328
844,7,1569149102,1,2,7,0,1,895.70184,1062.679526560871,899.6856073256632
718,7,1569148417,1,2,7,0,1,895.70184,1062.6784906851929,899.6856073256632
884,7,1569146410,1,2,7,0,1,895.70184,1062.675455645068,899.6856073256632
748,7,1569145587,1,2,6,0,1,879.37286,1048.2358297816538,887.890462306289
949,7,1569144604,1,2,6,0,1,879.37286,1048.2343432622504,887.890462306289
807,7,1569143725,1,2,6,0,1,879.37286,1048.2330140144825,887.890462306289
625,7,1569142841,1,2,6,0,1,879.37286,1048.2316772055785,887.890462306289
834,7,1569141043,1,2,5,0,1,809.0949,1033.7905769205793,855.9504960259844
701,7,1569139833,1,2,5,0,1,809.0949,1033.7887471255856,855.9504960259844
1608,7,1569122892,1,1,0,0,1,829.37164,961.5712219815889,881.9244016415508
1076,7,1569121954,1,1,0,0,1,829.37164,961.5698035124117,881.9244016415508
1026,6,1569120662,1,4,23,0,1,1013.71436,1306.428189907929,1021.5797501096971
1081,6,1569118831,1,4,23,0,1,1013.71436,1306.425421019803,1021.5797501096971
977,6,1569117998,1,4,23,0,1,1013.71436,1306.424161334489,1021.5797501096971
