tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,predicao_xgb,predicao_lr,predicao_rf
1237,6,1569687662,1,3,1338.0122,1141.4713197191777,1312.335
1383,6,1569686416,1,3,1338.0122,1141.490400481449,1373.935
1416,6,1569685851,1,3,1338.0122,1141.499052673007,1384.44
1391,6,1569684765,1,3,1338.0122,1141.5156832571338,1310.965
1058,6,1569684146,1,3,1223.5548,1141.5251623838158,1188.23
1243,6,1569683389,1,3,1263.638,1141.5367547891437,1237.81
1506,6,1569682456,1,2,1276.2406,1053.3747462408937,1408.57
1284,6,1569681531,1,2,1242.9407,1053.3889113332698,1266.45
1120,6,1569680845,1,2,1237.4716,1053.3994164720461,1179.53
1178,6,1569679591,1,2,1237.4716,1053.418619743221,1207.445
1322,6,1569679094,1,2,1237.4716,1053.4262306090714,1276.285
1347,6,1569678270,1,2,1237.4716,1053.4388490264937,1230.12
903,6,1569677538,1,2,1110.0078,1053.4500585914866,1047.46
1118,6,1569676211,1,2,1151.1462,1053.4703797564398,1218.41
1546,6,1569675471,1,2,1280.4738,1053.4817118303363,1399.565
1101,6,1569674988,1,2,1122.2332,1053.489108305599,1222.12
1020,6,1569673562,1,2,1122.2332,1053.5109455182755,1054.535
1145,6,1569673160,1,2,1122.2332,1053.5171015908527,1096.24
1013,6,1569672309,1,2,1122.2332,1053.530133475837,1043.255
1084,6,1569671687,1,2,1122.2332,1053.539658543359,1089.85
1130,6,1569670989,1,2,1122.2332,1053.5503474454963,1112.165
1481,6,1569668552,1,2,1257.3851,1053.5876667212979,1324.48
1021,6,1569667448,1,2,1031.6205,1053.6045729504658,1115.625
870,6,1569666207,1,2,894.9087,1053.62357714467,887.465
871,6,1569665571,1,2,894.9087,1053.6333166027762,873.015
875,6,1569664589,1,2,894.9087,1053.6483545711162,867.405
846,6,1569663945,1,2,894.9087,1053.6582165381296,854.31
848,6,1569662809,1,2,894.9087,1053.6756128029265,865.37
922,6,1569661849,1,2,894.9087,1053.690313871768,879.335
790,6,1569660941,1,2,841.0586,1053.7042186327162,784.725
709,6,1569660371,1,2,841.0586,1053.7129473923414,747.06
814,6,1569659727,1,2,841.0586,1053.7228093593585,793.77
864,6,1569658798,1,2,841.0586,1053.7370357061845,843.145
811,6,1569657120,1,1,838.42535,965.5864357999089,829.465
850,6,1569642036,1,1,856.8215,965.817426344096,861.28
921,6,1569640537,1,1,898.3911,965.8403814505509,889.465
913,5,1569638800,1,4,1024.6029,1246.1673368515294,945.265
961,5,1569637839,1,4,1024.6029,1246.1820532339843,964.465
1067,5,1569636851,1,4,1074.0631,1246.1971830840012,1051.265
1042,5,1569636230,1,4,1074.0631,1246.20669283791,1060.055
1132,5,1569635189,1,4,1140.0392,1246.2226343094371,1128.98
1175,5,1569634516,1,4,1140.0392,1246.2329403712392,1160.405
1203,5,1569633380,1,4,1140.0392,1246.250336636036,1173.35
1067,5,1569632736,1,4,1140.0392,1246.2601986030531,1120.05
1233,5,1569632289,1,4,1140.0392,1246.2670437882334,1191.625
1176,5,1569631407,1,4,1140.0392,1246.2805503952295,1162.25
1097,5,1569630774,1,4,1140.0392,1246.2902439124991,1119.745
1163,5,1569630007,1,4,1140.0392,1246.3019894539611,1103.375
931,5,1569629569,1,4,1088.8279,1246.3086968166208,1028.58
1358,5,1569629006,1,4,1219.1411,1246.3173183809522,1243.925
1111,5,1569628427,1,4,1184.0566,1246.326184963098,1151.98
1213,5,1569628176,1,4,1184.0566,1246.330028680055,1204.675
1198,5,1569627127,1,4,1184.0566,1246.3460926604894,1192.79
1200,5,1569626572,1,4,1184.0566,1246.3545917159136,1193.75
1036,5,1569625931,1,4,1144.9424,1246.3644077420868,1146.93
1378,5,1569625449,1,4,1383.976,1246.3717889037362,1305.16
1526,5,1569624414,1,4,1448.5864,1246.387638493583,1475.935
1420,5,1569623533,1,4,1431.9048,1246.4011297869692,1436.21
1364,5,1569622870,1,4,1414.1102,1246.4112827126373,1459.405
