tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,data_partida2,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
1451,4,1568918745,1,3,15,2019-09-19 15:45:45,1323.9062,1251.9537568402136,913.0026054546615,1304.0951,1255.8935472089138,1083.619076941799,1337.0348,1293.572174240559,1255.7545472867714,1310.0524,1304.762331336181,1217.2575339307114,1338.99,1210.1494084578417,1292.9477473922411
1116,4,1568919182,1,3,15,2019-09-19 15:53:02,1323.9062,1251.9537568402136,912.9839115470386,1304.0951,1255.8935472089138,1083.6121857501494,1337.0348,1293.572174240559,1255.760148142199,1310.0524,1304.762331336181,1217.2601524709771,1338.99,1210.151659396729,1292.9477473922411
1560,4,1568920571,1,3,16,2019-09-19 16:16:11,1364.0303,1257.699148487854,931.0459052743972,1369.7747,1343.9616923532237,1100.9831745864758,1410.4005,1326.876476071616,1273.453768787458,1374.0249,1319.769894698897,1234.295757818094,1398.9857,1226.492605096234,1358.4994336142854
1276,4,1568922166,1,3,16,2019-09-19 16:42:46,1364.0303,1257.699148487854,930.977674650494,1369.7747,1343.9616923532237,1100.9580225254213,1410.4005,1326.876476071616,1273.4742112689346,1374.0249,1319.769894698897,1234.305315190466,1398.9857,1226.5008207656292,1358.4994336142854
1073,4,1568922390,1,3,16,2019-09-19 16:46:30,1364.0303,1257.699148487854,930.9680924186687,1369.7747,1343.9616923532237,1100.95449019835,1410.4005,1326.876476071616,1273.477082187961,1374.0249,1319.769894698897,1234.306657417057,1398.9857,1226.501974564967,1358.4994336142854
1275,4,1568922932,1,3,16,2019-09-19 16:55:32,1364.0303,1257.699148487854,930.9449068398826,1369.7747,1343.9616923532237,1100.9459432283875,1410.4005,1326.876476071616,1273.4840287866828,1374.0249,1319.769894698897,1234.3099051260378,1398.9857,1226.5047663472951,1358.4994336142854
1443,4,1568923428,1,3,17,2019-09-19 17:03:48,1369.6301,1256.3314379854792,949.0451011610858,1387.7236,1349.9194674035023,1118.3310140650428,1437.0857,1341.8853632055443,1291.1662042056378,1406.195,1337.8141632052743,1251.3401595430441,1410.9774,1242.841112302115,1373.6350110092828
1513,4,1568924072,1,3,17,2019-09-19 17:14:32,1369.6301,1256.3314379854792,949.0175522445934,1387.7236,1349.9194674035023,1118.3208586247165,1437.0857,1341.8853632055443,1291.1744580978448,1406.195,1337.8141632052743,1251.3440184444917,1410.9774,1242.8444294752144,1373.6350110092828
1607,4,1568924532,1,3,17,2019-09-19 17:22:12,1369.6301,1256.3314379854792,948.9978744471009,1387.7236,1349.9194674035023,1118.3136047387707,1437.0857,1341.8853632055443,1291.1803537351334,1406.195,1337.8141632052743,1251.346774802667,1410.9774,1242.8467988845687,1373.6350110092828
1950,4,1568924538,1,3,17,2019-09-19 17:22:18,1369.6301,1256.3314379854792,948.9976177801873,1387.7236,1349.9194674035023,1118.3135101228654,1437.0857,1341.8853632055443,1291.1804306347512,1406.195,1337.8141632052743,1251.3468107551653,1410.9774,1242.846829789908,1373.6350110092828
