tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1063,2,1568713038,1,2,6,999.0,1171.0,866.0,1136.0,983.75903,1028.1334360590695,1036.5246003456798,1016.5338,1070.3351015087126,1051.8538756129954,1002.96594,1012.67477516641,1026.3153359869548,1010.52313,1029.6891535266363,1029.701566998493
998,2,1568712760,1,2,6,1063.0,999.0,1171.0,866.0,983.75903,1063.2273554847698,1050.415229263793,985.53796,1033.9386487295403,1035.4704139507248,995.7843,1059.002658505686,1048.332553540221,976.15063,1011.891717298181,1015.6314958020797
914,2,1568712035,1,2,6,998.0,1063.0,999.0,1171.0,983.75903,1027.5836562205614,1036.7158020852983,992.2861,1033.052183096176,1044.143143947507,990.27,1016.9808514176127,1027.208158276328,1001.31256,1038.7500793460363,1024.2235919616041
940,2,1568711412,1,2,6,914.0,998.0,1063.0,999.0,976.7022,981.5214774062015,1021.5148577174685,979.7406,981.3969265035591,1016.0760817621073,977.32666,993.6887473582703,1015.8760984370617,975.1889,986.0095960163094,1011.7298238792956
1120,2,1568711035,1,2,6,940.0,914.0,998.0,1063.0,981.67957,995.7780053903198,1034.76982165807,965.59625,961.7804289364201,996.6851744809595,967.05365,964.1687718571743,981.9937596217056,974.78284,975.9185216002056,989.6196057705123
946,2,1568710315,1,2,5,1120.0,940.0,914.0,998.0,901.0187,1086.1876306481363,922.5072232105738,889.8048,1027.0175639855822,905.5744926921141,892.8609,991.872872279974,914.4790623973781,895.52765,985.4578973499483,905.1667642476285
1055,2,1568709654,1,2,5,946.0,1120.0,940.0,914.0,887.5579,990.7740156038008,922.6492974741984,899.78674,1027.613008245596,964.6111107343738,904.4249,996.9425961347793,958.1714951132504,881.2161,971.6374055598194,930.6363228086943
717,2,1568709417,1,2,5,1055.0,946.0,1120.0,940.0,889.6374,1050.5436845356053,930.6480970961179,884.4132,1006.2972968497763,901.1132220821107,908.8382,1025.0310568607676,949.9390337456568,910.76575,998.1170893760818,942.6403331539619
916,2,1568708770,1,2,5,717.0,1055.0,946.0,1120.0,825.19666,865.2009044733345,832.7779990289765,851.7907,925.1603852108453,892.5790322229208,852.3748,921.5070821168895,887.6724017521108,872.4078,950.3698271127982,923.5218837206389
748,2,1568708238,1,2,5,916.0,717.0,1055.0,946.0,887.5579,974.3215344877672,924.0561394970272,875.57043,879.2923225945308,945.999522220231,891.7827,915.6104495810955,966.3627387314489,896.2028,912.7387228757193,952.8104481744087
768,2,1568707892,1,2,5,748.0,916.0,717.0,1055.0,826.52576,882.1984610410695,802.2973491100802,822.21606,888.487256522623,814.1262469288604,788.67065,840.6674757764531,776.6712756689362,813.9242,876.37534567381,775.6377591741976
705,2,1568707131,1,1,4,768.0,748.0,916.0,717.0,798.7021,884.8722375591151,760.2972920750905,801.52313,831.3323122328713,760.5643857896317,817.5128,844.6877693018916,787.5602417053053,801.6622,810.96051460016,764.9261966562387
778,2,1568706623,1,1,4,705.0,768.0,748.0,916.0,796.88403,850.3255453034367,782.28670263004,796.0168,816.1005156650283,767.1045782244868,769.09735,793.1532502514492,754.9090759890355,763.57697,809.8264690044459,744.8806041110328
857,2,1568704968,1,1,4,778.0,705.0,768.0,748.0,798.7021,890.3526381315401,757.1754070626021,801.52313,820.1291365975019,769.7067863445617,777.7644,801.4834640402994,762.6844971167116,768.50806,784.2854346169554,751.6746287196644
1024,2,1568691647,1,1,0,857.0,778.0,705.0,768.0,861.33826,900.4847315829111,847.7666870890348,842.9569,845.9081775859593,852.8855181319043,820.5099,799.6219515306211,832.3271631752261,824.3169,780.8491844874106,835.9704879241277
934,2,1568690138,1,1,0,1024.0,857.0,778.0,705.0,885.42694,992.0568094987862,916.4298387910625,877.2302,931.4256715228455,887.7565643415855,862.1996,880.8802446451341,859.1284533617636,862.84314,833.2232253091158,862.3989411642891
919,2,1568689225,1,1,0,934.0,1024.0,857.0,778.0,883.3475,942.7041247585112,912.768539114171,896.469,957.002680539573,926.507000458902,897.39343,917.5114862155885,915.2742253457981,886.8482,874.7874483055061,887.3882616528358
905,1,1568688257,1,4,23,919.0,934.0,1024.0,857.0,1051.8302,1130.6907809139893,1038.4855322118876,1033.4553,1079.1015450445118,1025.0480265986473,1047.3062,1083.4686985235091,1039.449374234676,1036.9833,1059.3295920623614,1032.6181579953222
920,1,1568687370,1,4,23,905.0,919.0,934.0,1024.0,1027.9187,1123.0126336354256,1007.4290313072328,1005.9211,1069.0667155031722,986.6744036830212,998.69714,1054.6652169770948,1001.7151498801985,1026.4924,1069.6147154826263,1030.5694235796404
1012,1,1568686491,1,4,23,920.0,905.0,919.0,934.0,1058.1746,1131.2366097524773,1043.1684744674415,1032.522,1069.533273714945,1020.3439926357906,1024.692,1051.5798256270193,1024.9968366854166,1029.16,1050.023017258362,1028.9709552384543
1074,1,1568685596,1,4,22,1012.0,920.0,905.0,919.0,1076.7365,1173.3913006772536,1122.956786690014,1042.325,1100.180095554207,1046.8382535565324,1029.5526,1069.845827392275,1026.5474305688738,1030.9446,1060.5625872113287,1023.7639319834368
1031,1,1568684819,1,4,22,1074.0,1012.0,920.0,905.0,1081.1562,1207.38781071739,1128.8393472492942,1070.8978,1153.3596874771017,1067.4772996122535,1052.8492,1112.7977693027426,1036.6700819067933,1034.5667,1091.968071024764,1031.0717901767628
1068,1,1568683806,1,4,22,1031.0,1074.0,1012.0,920.0,1076.7365,1183.8073716726794,1123.1031548010894,1075.567,1159.4961596021133,1083.5347851042081,1065.8647,1138.725632714404,1053.514240825174,1068.5164,1114.162115245806,1048.7364780659623
1122,1,1568683219,1,4,22,1068.0,1031.0,1074.0,1012.0,1081.1562,1204.0954355931985,1128.7067424103202,1075.1656,1157.7533458089922,1078.9300550823725,1077.2749,1152.4859524148103,1067.3884832748524,1079.4938,1142.549305011241,1065.1031691307562
924,1,1568682641,1,4,22,1122.0,1068.0,1031.0,1074.0,1085.0941,1233.705440068341,1126.5680549723875,1088.6919,1189.3227902241395,1083.1086508387616,1079.6399,1165.822618036975,1056.9014032106745,1082.2811,1165.7892097689196,1063.4393890069468
903,1,1568681795,1,4,21,924.0,1122.0,1068.0,1031.0,1090.9054,1116.839081103054,1112.166436584575,1048.6925,1131.7118598630416,1089.3834148935587,1059.5131,1129.1599457321024,1070.196978754487,1091.4769,1125.0844800776567,1087.309025007539
1000,1,1568681012,1,4,21,903.0,924.0,1122.0,1068.0,1072.5161,1105.3226413959383,1073.107970409492,995.9809,1056.6463490313943,1039.16195354609,1051.8547,1086.9495213401044,1066.507127931928,1085.2758,1098.4647159481433,1081.5068259011402
1122,1,1568680339,1,4,21,1000.0,903.0,924.0,1122.0,1098.9537,1158.5115039450357,1127.6366429444877,1031.4517,1083.4460391498703,1059.8462388556088,1023.41986,1060.411850503063,1040.7080738065272,1067.0826,1090.4172789960526,1068.1146207673762
1014,1,1568679484,1,4,21,1122.0,1000.0,903.0,924.0,1107.4515,1225.408824028702,1140.4510736568318,1068.1722,1159.354838635181,1091.4263840625003,1047.302,1111.9561206158312,1055.8518932977734,1038.2906,1093.7494285429138,1054.3424064628232
1160,1,1568679062,1,4,21,1014.0,1122.0,1000.0,903.0,1101.4365,1166.1865634792716,1138.7204892312614,1058.4954,1163.2383372709144,1098.000234228701,1051.1925,1136.8517161097718,1068.787275144042,1049.3816,1107.626014535228,1047.4989285472934
