Sentido,Linha,DuraçãoViagem,TotalGiros,KmPerc,Ini,Fim,dia_semana,hora_dia,dia_ano,mes_ano,turno_dia,TotalGirosMean,DuraçãoViagemMean
0,1120,4560,7,31.218,2018-11-21 18:02:00,2018-11-21 19:18:00,3,18,325,11,4,19.0,4140.0
1,1120,4200,21,30.64,2018-11-21 18:30:00,2018-11-21 19:40:00,3,18,325,11,4,19.0,4140.0
1,1120,3660,19,30.64,2018-11-21 19:41:00,2018-11-21 20:42:00,3,19,325,11,4,30.0,4020.0
0,1120,3540,18,31.218,2018-11-22 06:10:00,2018-11-22 07:09:00,4,6,326,11,2,24.5,3720.0
0,1120,4980,36,31.218,2018-11-22 06:43:00,2018-11-22 08:06:00,4,6,326,11,2,24.5,3720.0
1,1120,3540,2,30.64,2018-11-22 07:12:00,2018-11-22 08:11:00,4,7,326,11,2,6.0,3420.0
0,1120,4800,21,31.218,2018-11-22 08:11:00,2018-11-22 09:31:00,4,8,326,11,2,16.0,3930.0
1,1120,2820,3,30.64,2018-11-22 08:15:00,2018-11-22 09:02:00,4,8,326,11,2,16.0,3930.0
0,1120,4260,19,31.218,2018-11-22 09:02:00,2018-11-22 10:13:00,4,9,326,11,2,24.0,4260.0
1,1120,3780,5,30.64,2018-11-22 10:17:00,2018-11-22 11:20:00,4,10,326,11,2,13.0,4140.0
1,1120,3660,5,30.64,2018-11-22 11:17:00,2018-11-22 12:18:00,4,11,326,11,2,13.5,3600.0
0,1120,3840,16,31.218,2018-11-22 11:20:00,2018-11-22 12:24:00,4,11,326,11,2,13.5,3600.0
1,1120,3660,9,30.64,2018-11-22 11:27:00,2018-11-22 12:28:00,4,11,326,11,2,13.5,3600.0
0,1120,3960,16,31.218,2018-11-22 12:18:00,2018-11-22 13:24:00,4,12,326,11,2,16.5,3960.0
0,1120,4440,19,31.218,2018-11-22 12:28:00,2018-11-22 13:42:00,4,12,326,11,2,16.5,3960.0
1,1120,3660,4,30.64,2018-11-22 12:37:00,2018-11-22 13:38:00,4,12,326,11,2,16.5,3960.0
1,1120,4020,18,30.64,2018-11-22 13:36:00,2018-11-22 14:43:00,4,13,326,11,2,17.0,3990.0
0,1120,4080,12,31.218,2018-11-22 13:38:00,2018-11-22 14:46:00,4,13,326,11,2,17.0,3990.0
0,1120,3600,9,31.218,2018-11-22 14:43:00,2018-11-22 15:43:00,4,14,326,11,2,11.0,4260.0
1,1120,4200,32,30.64,2018-11-22 15:49:00,2018-11-22 16:59:00,4,15,326,11,2,34.0,4080.0
1,1120,4380,42,30.64,2018-11-22 16:51:00,2018-11-22 18:04:00,4,16,326,11,2,15.5,4290.0
0,1120,4140,10,31.218,2018-11-22 16:59:00,2018-11-22 18:08:00,4,16,326,11,2,15.5,4290.0
0,1120,4080,18,31.218,2018-11-22 18:05:00,2018-11-22 19:13:00,4,18,326,11,4,14.0,4380.0
1,1120,4560,25,30.64,2018-11-22 18:23:00,2018-11-22 19:39:00,4,18,326,11,4,14.0,4380.0
1,1120,4740,24,30.64,2018-11-22 19:31:00,2018-11-22 20:50:00,4,19,326,11,4,19.0,3660.0
0,1120,3540,21,31.218,2018-11-23 06:10:00,2018-11-23 07:09:00,5,6,327,11,2,27.0,4260.0
0,1120,4260,26,31.218,2018-11-23 06:47:00,2018-11-23 07:58:00,5,6,327,11,2,27.0,4260.0
1,1120,3420,1,30.64,2018-11-23 07:14:00,2018-11-23 08:11:00,5,7,327,11,2,2.0,3540.0
0,1120,4200,21,31.218,2018-11-23 08:11:00,2018-11-23 09:21:00,5,8,327,11,2,12.0,3810.0
1,1120,3060,9,30.64,2018-11-23 08:14:00,2018-11-23 09:05:00,5,8,327,11,2,12.0,3810.0
0,1120,3780,15,31.218,2018-11-23 09:05:00,2018-11-23 10:08:00,5,9,327,11,2,19.0,4260.0
1,1120,3780,10,30.64,2018-11-23 10:17:00,2018-11-23 11:20:00,5,10,327,11,2,5.0,3780.0
0,1120,3720,15,31.218,2018-11-23 11:20:00,2018-11-23 12:22:00,5,11,327,11,2,10.0,3720.0
1,1120,3600,8,30.64,2018-11-23 11:24:00,2018-11-23 12:24:00,5,11,327,11,2,10.0,3720.0
0,1120,5040,14,31.218,2018-11-23 12:24:00,2018-11-23 13:48:00,5,12,327,11,2,13.0,4020.0
1,1120,3600,15,30.64,2018-11-23 12:37:00,2018-11-23 13:37:00,5,12,327,11,2,13.0,4020.0
0,1120,3960,9,31.218,2018-11-23 13:40:00,2018-11-23 14:46:00,5,13,327,11,2,15.0,4050.0
1,1120,3540,12,30.64,2018-11-23 13:41:00,2018-11-23 14:40:00,5,13,327,11,2,15.0,4050.0
0,1120,3600,7,31.218,2018-11-23 14:40:00,2018-11-23 15:40:00,5,14,327,11,2,9.0,3600.0
1,1120,3780,23,30.64,2018-11-23 15:49:00,2018-11-23 16:52:00,5,15,327,11,2,32.0,4200.0
1,1120,4560,36,30.64,2018-11-23 16:51:00,2018-11-23 18:07:00,5,16,327,11,2,26.0,4260.0
0,1120,3840,8,31.218,2018-11-23 16:52:00,2018-11-23 17:56:00,5,16,327,11,2,26.0,4260.0
0,1120,3960,13,31.218,2018-11-23 18:07:00,2018-11-23 19:13:00,5,18,327,11,4,21.5,4320.0
1,1120,4560,30,30.64,2018-11-23 18:25:00,2018-11-23 19:41:00,5,18,327,11,4,21.5,4320.0
1,1120,4200,20,30.64,2018-11-23 19:33:00,2018-11-23 20:43:00,5,19,327,11,4,24.0,4740.0
0,1120,3660,7,31.218,2018-11-24 06:49:00,2018-11-24 07:50:00,6,6,328,11,2,23.5,3900.0
0,1120,3960,5,31.218,2018-11-24 07:25:00,2018-11-24 08:31:00,6,7,328,11,2,1.0,3420.0
1,1120,3000,1,30.64,2018-11-24 08:10:00,2018-11-24 09:00:00,6,8,328,11,2,15.0,3630.0
0,1120,3480,8,31.218,2018-11-24 09:00:00,2018-11-24 09:58:00,6,9,328,11,2,15.0,3780.0
