Teste,Rota,Modelo,Métrica,Valor
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,RF,Tempo de predição,0.117088
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,LR,RRSE,0.915378706006163
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,LR,MAPE,0.1512214523011177
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,LR,Tempo de treino,0.3002
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,LR,Tempo de predição,0.2
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,XGB,RRSE,0.6878002339966823
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,XGB,MAPE,0.10077712327228892
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,XGB,Tempo de treino,1.35969
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,XGB,Tempo de predição,0.5963
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,RF,RRSE,0.6826275760634491
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,RF,MAPE,0.10128143706093837
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,RF,Tempo de treino,0.868031
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,RF,Tempo de predição,0.10503
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,LR,RRSE,0.9423314404289496
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,LR,MAPE,0.1525172127850405
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,LR,Tempo de treino,0.2006
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao]",SP - 33642,LR,Tempo de predição,0.972
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,XGB,RRSE,0.6925028623422401
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,XGB,MAPE,0.10398598484982731
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,XGB,Tempo de treino,1.77965
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,XGB,Tempo de predição,0.3998
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,RF,RRSE,0.6978726534320654
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,RF,MAPE,0.10738114238051752
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,RF,Tempo de treino,1.367448
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,RF,Tempo de predição,0.117023
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,LR,RRSE,0.9265482600012815
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,LR,MAPE,0.15486993061426838
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,LR,Tempo de treino,0.3
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Temperatura]",SP - 33642,LR,Tempo de predição,0.1994
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,XGB,RRSE,0.6880909262868259
