data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
2019-07-01 13:44:00,1560,1561988640,1,1,13,2,182,0.0,25.3,0,2,1680.0,2160.0,960.0,1740.0,1860.0
2019-07-01 13:54:00,1500,1561989240,1,1,13,2,182,0.0,25.3,0,2,1560.0,1680.0,2160.0,960.0,1740.0
2019-07-01 13:58:00,1380,1561989480,1,1,13,2,182,0.0,25.3,0,2,1500.0,1560.0,1680.0,2160.0,960.0
2019-07-01 14:06:00,1740,1561989960,1,1,14,2,182,0.0,25.3,0,2,1380.0,1500.0,1560.0,1680.0,2160.0
2019-07-01 14:06:00,1320,1561989960,1,1,14,2,182,0.0,25.3,0,2,1740.0,1380.0,1500.0,1560.0,1680.0
2019-07-01 14:10:00,2100,1561990200,1,1,14,2,182,0.0,25.3,0,2,1320.0,1740.0,1380.0,1500.0,1560.0
2019-07-01 14:23:00,1200,1561990980,1,1,14,2,182,0.0,25.3,0,2,2100.0,1320.0,1740.0,1380.0,1500.0
2019-07-01 14:32:00,1800,1561991520,1,1,14,2,182,0.0,25.35,0,2,1200.0,2100.0,1320.0,1740.0,1380.0
2019-07-01 14:36:00,1260,1561991760,1,1,14,2,182,0.0,25.35,0,2,1800.0,1200.0,2100.0,1320.0,1740.0
2019-07-01 14:41:00,2040,1561992060,1,1,14,2,182,0.0,25.35,0,2,1260.0,1800.0,1200.0,2100.0,1320.0
2019-07-01 14:48:00,1140,1561992480,1,1,14,2,182,0.0,25.35,0,2,2040.0,1260.0,1800.0,1200.0,2100.0
2019-07-01 14:48:00,1440,1561992480,1,1,14,2,182,0.0,25.35,0,2,1140.0,2040.0,1260.0,1800.0,1200.0
2019-07-01 14:52:00,1740,1561992720,1,1,14,2,182,0.0,25.35,0,2,1440.0,1140.0,2040.0,1260.0,1800.0
2019-07-01 15:02:00,1800,1561993320,1,1,15,2,182,0.0,25.35,0,2,1740.0,1440.0,1140.0,2040.0,1260.0
2019-07-01 15:08:00,2400,1561993680,1,1,15,2,182,0.0,25.35,0,2,1800.0,1740.0,1440.0,1140.0,2040.0
2019-07-01 15:24:00,1200,1561994640,1,1,15,2,182,0.0,25.35,0,2,2400.0,1800.0,1740.0,1440.0,1140.0
2019-07-01 15:26:00,1920,1561994760,1,1,15,2,182,0.0,25.35,0,2,1200.0,2400.0,1800.0,1740.0,1440.0
2019-07-01 15:32:00,2760,1561995120,1,1,15,2,182,0.0,25.55,0,2,1920.0,1200.0,2400.0,1800.0,1740.0
2019-07-01 15:35:00,1140,1561995300,1,1,15,2,182,0.0,25.55,0,2,2760.0,1920.0,1200.0,2400.0,1800.0
2019-07-01 15:48:00,1080,1561996080,1,1,15,2,182,0.0,25.55,0,2,1140.0,2760.0,1920.0,1200.0,2400.0
2019-07-01 15:48:00,1860,1561996080,1,1,15,2,182,0.0,25.55,0,2,1080.0,1140.0,2760.0,1920.0,1200.0
2019-07-01 15:48:00,0,1561996080,1,1,15,2,182,0.0,25.55,0,2,1860.0,1080.0,1140.0,2760.0,1920.0
2019-07-01 15:53:00,2100,1561996380,1,1,15,2,182,0.0,25.55,0,2,0.0,1860.0,1080.0,1140.0,2760.0
2019-07-01 15:56:00,2160,1561996560,1,1,15,2,182,0.0,25.55,0,2,2100.0,0.0,1860.0,1080.0,1140.0
2019-07-01 16:07:00,1140,1561997220,1,1,16,2,182,0.0,25.55,0,2,2160.0,2100.0,0.0,1860.0,1080.0
2019-07-01 16:10:00,2040,1561997400,1,1,16,2,182,0.0,25.55,0,2,1140.0,2160.0,2100.0,0.0,1860.0
2019-07-01 16:18:00,1920,1561997880,1,1,16,2,182,0.0,25.55,0,2,2040.0,1140.0,2160.0,2100.0,0.0
2019-07-01 16:19:00,2220,1561997940,1,1,16,2,182,0.0,25.55,0,2,1920.0,2040.0,1140.0,2160.0,2100.0
2019-07-01 16:20:00,1560,1561998000,1,1,16,2,182,0.0,25.55,0,2,2220.0,1920.0,2040.0,1140.0,2160.0
2019-07-01 16:35:00,1620,1561998900,1,1,16,2,182,0.0,25.1,0,2,1560.0,2220.0,1920.0,2040.0,1140.0
2019-07-01 16:37:00,1860,1561999020,1,1,16,2,182,0.0,25.1,0,2,1620.0,1560.0,2220.0,1920.0,2040.0
2019-07-01 16:41:00,2100,1561999260,1,1,16,2,182,0.0,25.1,0,2,1860.0,1620.0,1560.0,2220.0,1920.0
2019-07-01 16:42:00,1560,1561999320,1,1,16,2,182,0.0,25.1,0,2,2100.0,1860.0,1620.0,1560.0,2220.0
2019-07-01 16:45:00,2520,1561999500,1,1,16,2,182,0.0,25.1,0,2,1560.0,2100.0,1860.0,1620.0,1560.0
2019-07-01 16:50:00,2940,1561999800,1,1,16,2,182,0.0,25.1,0,2,2520.0,1560.0,2100.0,1860.0,1620.0
2019-07-01 16:55:00,1680,1562000100,1,1,16,2,182,0.0,25.1,0,2,2940.0,2520.0,1560.0,2100.0,1860.0
2019-07-01 16:56:00,2100,1562000160,1,1,16,2,182,0.0,25.1,0,2,1680.0,2940.0,2520.0,1560.0,2100.0
2019-07-01 17:07:00,2100,1562000820,1,1,17,2,182,0.0,25.1,0,2,2100.0,1680.0,2940.0,2520.0,1560.0
2019-07-01 17:08:00,2280,1562000880,1,1,17,2,182,0.0,25.1,0,2,2100.0,2100.0,1680.0,2940.0,2520.0
2019-07-01 17:15:00,2460,1562001300,1,1,17,2,182,0.0,25.1,0,2,2280.0,2100.0,2100.0,1680.0,2940.0
2019-07-01 17:16:00,2160,1562001360,1,1,17,2,182,0.0,25.1,0,2,2460.0,2280.0,2100.0,2100.0,1680.0
2019-07-01 17:21:00,2520,1562001660,1,1,17,2,182,0.0,25.1,0,2,2160.0,2460.0,2280.0,2100.0,2100.0
2019-07-01 17:28:00,1680,1562002080,1,1,17,2,182,0.0,25.1,0,2,2520.0,2160.0,2460.0,2280.0,2100.0
